Lib/Foundation.v,0:0,0:0,0:0
Lib/Setoid.v,0:0,0:0,0:0
Lib/Tactics.v,0:0,0:0,0:0
Lib/Datatypes.v,0:0,0:0,0:0
Lib.v,0:0,0:0,0:0
Theory/Category.v,0:0,0:0,0:0
Theory/Morphisms.v,0:0,0:0,0:0
Theory/Isomorphism.v,0:1,0:1,0:0
Theory/Functor.v,0:0,0:0,0:0
Theory/Canonical.v,0:0,0:0,0:0
Theory/Naturality.v,0:0,0:0,0:0
Theory/Natural/Transformation.v,0:0,0:0,0:0
Structure/Terminal.v,0:0,0:0,0:0
Construction/Opposite.v,0:0,0:0,0:0
Construction/Product.v,0:0,0:0,0:0
Instance/Fun.v,0:1,0:1,0:0
Theory/Dinatural.v,0:0,0:0,0:0
Structure/Initial.v,0:0,0:0,0:0
Instance/Sets.v,0:0,0:0,0:0
Theory/Adjunction.v,0:0,0:0,0:0
Theory/Adjunction/Natural/Transformation.v,0:0,0:0,0:0
Theory/Adjunction/Natural/Transformation/Isomorphism.v,0:2,0:2,0:0
Functor/Opposite.v,0:0,0:0,0:0
Theory/Monad.v,0:0,0:0,0:0
Theory/Monad/Adjunction.v,0:0,0:0,0:0
Functor/Bifunctor.v,0:1,0:1,0:0
Structure/Monoidal.v,0:0,0:0,0:0
Structure/Monoid.v,0:0,0:0,0:0
Structure/Monoidal/Composition.v,0:11,0:11,0:0
Theory/Monad/Monoid.v,0:2,0:1,0:0
Functor/Construction/Product.v,0:5,0:4,0:0
Functor/Structure/Monoidal.v,0:1,0:1,0:0
Functor/Product.v,0:1,0:0,0:0
Functor/Hom.v,0:2,0:1,0:0
Structure/Monoidal/Naturality.v,0:12,0:12,0:0
Functor/Strong.v,0:9,0:9,0:0
Functor/Structure/Monoidal/Pure.v,0:4,0:4,0:0
Theory/Monad/Distributive.v,0:0,0:0,0:0
Theory/Monad/Composition.v,0:2,0:2,0:0
Theory/Monad/Transformer.v,0:0,0:0,0:0
Theory/Monad/Kleisli.v,0:1,0:1,0:0
Theory/Monad/Algebra.v,0:0,0:0,0:0
Theory/Monad/Eilenberg/Moore.v,0:1,0:0,0:0
Instance/Cat.v,0:3,0:3,0:0
Theory/Kan/Extension.v,0:1,0:0,0:0
Construction/Comma.v,0:4,0:4,0:0
Functor/Constant.v,0:0,0:0,0:0
Instance/One.v,0:0,0:0,0:0
Theory/Universal/Arrow.v,0:0,0:0,0:0
Construction/Product/Opposite.v,0:0,0:0,0:0
Construction/Coproduct.v,0:2,0:2,0:0
Construction/Slice.v,0:20,0:20,0:0
Construction/Arrow.v,0:0,0:0,0:0
Construction/Groupoid.v,0:0,0:0,0:0
Construction/Comma/Adjunction.v,0:50,0:49,0:0
Construction/Comma/Natural/Transformation.v,0:1,0:0,0:0
Construction/Comma/Isomorphism.v,0:0,0:0,0:0
Construction/Product/Comma.v,1:57,1:55,0:1
Structure/Cartesian.v,0:5,0:5,0:0
Structure/Cocartesian.v,0:3,0:3,0:0
Structure/Bicartesian.v,0:0,0:0,0:0
Structure/Distributive.v,0:0,0:0,0:0
Structure/Closed.v,0:18,0:18,0:0
Structure/BiCCC.v,0:30,0:29,0:0
Structure/Constant.v,0:0,0:0,0:0
Structure/Monoidal/Proofs.v,0:26,0:26,0:0
Structure/Monoidal/Semicartesian.v,0:0,0:0,0:0
Structure/Monoidal/Symmetric.v,0:1,0:1,0:0
Structure/Monoidal/Relevance.v,0:40,0:40,0:0
Structure/Monoidal/Cartesian.v,0:0,0:0,0:0
Structure/Monoidal/Semicartesian/Proofs.v,0:8,0:8,0:0
Structure/Monoidal/Cartesian/Proofs.v,1:0,1:0,0:0
Structure/Monoidal/Cartesian/Cartesian.v,0:2,0:2,0:0
Functor/Product/Internal.v,0:1,0:1,0:0
Structure/Monoidal/Internal/Product.v,2:56,2:55,0:0
Structure/Monoidal/Product.v,0:11,0:11,0:0
Structure/Monoidal/Braided.v,0:0,0:0,0:0
Instance/Sets/Cartesian.v,0:0,0:0,0:0
Structure/Monoid/Algebra.v,0:1,0:0,0:0
Structure/Cone.v,0:0,0:0,0:0
Structure/Cone/Natural/Transformation.v,0:0,0:0,0:0
Structure/Limit.v,0:0,0:0,0:0
Structure/Limit/Kan/Extension.v,0:1,0:1,0:0
Structure/Complete.v,0:0,0:0,0:0
Structure/Wedge.v,0:0,0:0,0:0
Structure/End.v,0:0,0:0,0:0
Instance/Parallel.v,0:4,0:4,0:0
Structure/Equalizer.v,0:0,0:0,0:0
Instance/Roof.v,0:0,0:0,0:0
Structure/Span.v,0:4,0:4,0:0
Structure/Pullback.v,0:0,0:0,0:0
Structure/Pullback/Limit.v,0:0,0:0,0:0
Structure/Pullback/Limit/Universal.v,0:2,0:2,0:0
Instance/Cat/Cartesian.v,0:12,0:12,0:0
Instance/Cat/Cocartesian.v,0:14,0:13,0:0
Instance/Cat/Closed.v,2:7,2:5,0:1
Instance/Zero.v,0:0,0:0,0:0
Instance/One/Constant.v,0:0,0:0,0:0
Instance/Two.v,0:3,0:3,0:0
Instance/Adj.v,0:25,0:24,0:0
Instance/Adjoints.v,0:10,0:9,0:0
Instance/Coq.v,0:1,0:1,0:0
Instance/Coq/Applicative.v,0:0,0:0,0:0
Instance/Coq/Monad.v,0:0,0:0,0:0
Instance/Sets/Cocartesian.v,0:0,0:0,0:0
Instance/Sets/Closed.v,0:0,0:0,0:0
Instance/Props.v,0:1,0:0,0:0
Instance/Rel.v,0:1,0:1,0:0
Instance/Ens.v,0:2,0:2,0:0
Functor/Structure/Initial.v,0:0,0:0,0:0
Functor/Structure/Terminal.v,0:0,0:0,0:0
Functor/Structure/Cartesian.v,0:0,0:0,0:0
Functor/Structure/Cocartesian.v,0:0,0:0,0:0
Functor/Structure/Closed.v,0:1,0:1,0:0
Instance/AST.v,0:12,0:12,0:0
Instance/Proset.v,0:0,0:0,0:0
Instance/Poset.v,0:0,0:0,0:0
Instance/Cones.v,0:0,0:0,0:0
Functor/Hom/Internal.v,0:2,0:2,0:0
Functor/Applicative.v,0:0,0:0,0:0
Functor/Hom/Yoneda.v,0:1,0:1,0:0
Functor/Diagonal.v,0:0,0:0,0:0
Functor/Coproduct.v,0:1,0:1,0:0
Functor/Construction/Product/Monoidal.v,9:2,,
Functor/Construction/Product/Strong.v,0:15,0:15,0:0
Functor/Representable.v,0:0,0:0,0:0
Functor/Strong/Product.v,3:45,3:44,0:0
Functor/Structure/Monoidal/Id.v,0:3,0:3,0:0
Functor/Structure/Monoidal/Compose.v,0:42,0:41,0:0
Natural/Transformation/Monoidal.v,0:0,0:0,0:0
Natural/Transformation/Strong.v,0:0,0:0,0:0
Natural/Transformation/Applicative.v,0:1,0:1,0:0
Functor/Traversable.v,0:42,0:41,0:0
Functor/Traversable/Product.v,0:19,0:19,0:0
Functor/Structure/Constant.v,0:0,0:0,0:0
Natural/Transformation/Opposite.v,0:0,0:0,0:0
Adjunction/Opposite.v,0:0,0:0,0:0
Adjunction/Natural/Transformation/Opposite.v,0:0,0:0,0:0
Tools/Abstraction.v,0:2,0:2,0:0
Tools/Represented.v,0:0,0:0,0:0
Theory.v,0:0,0:0,0:0
Pending/Cone.v,0:0,0:0,0:0
Pending/Const.v,0:0,0:0,0:0
Pending/Limit.v,0:0,0:0,0:0
Pending/Finite.v,0:0,0:0,0:0
Pending/Finite/Span.v,0:0,0:0,0:0
