issue	layer	title
#216	0	MacLane I.1: Commutative diagrams as first-class objects
#217	0	MacLane I.1: Arrows-only metacategories and the equivalence of category presentations
#218	0	MacLane I.2: A category is a monoid for the product over its object set
#219	0	MacLane I.2: Discrete categories are exactly sets
#220	0	MacLane I.2: Delooping monoids and groups into one-object categories
#222	0	MacLane I.2: Ens_V, the category of sets within a set V
#223	0	MacLane I.2: Preorders as thin categories, with partial and linear orders
#224	0	MacLane I.2: Finite ordinals as categories and the chain ω
#225	0	MacLane I.2: The simplicial category Delta
#227	0	MacLane I.3: The covariant power-set functor
#231	0	MacLane I.3: Full and faithful functors, subcategories, and reflection of monics
#238	0	MacLane I.4: The skeleton equivalence between finite sets and finite ordinals
#239	0	MacLane I.4: The currying adjunction and naturality of evaluation
#242	0	MacLane I.4: Natural transformations into a preorder
#243	0	MacLane I.4: The arrows-only presentation of natural transformations
#245	0	MacLane I.5: Epis in Sets are exactly the surjections
#246	0	MacLane I.5: Split morphisms, idempotent composites, and regular arrows
#247	0	MacLane I.5: Uniqueness of terminal, initial, and zero objects
#250	0	MacLane I.5: Monic/epi cancellation and a non-invertible bimorphism
#252	0	MacLane I.5: The natural numbers as an initial algebra
#253	0	MacLane I.6: Size and foundations vocabulary
#254	0	MacLane I.6: Small completeness of Sets (indexed products and coproducts)
#255	0	MacLane I.6: Grp, the category of groups
#259	0	MacLane I.7: Top, the category of topological spaces
#261	0	MacLane I.7: Set_*, the category of pointed sets
#262	0	MacLane I.7: Rel, converse relations, and the graph embedding
#264	0	MacLane I.8: Ab-categories and additive functors
#266	0	MacLane II.1: The ETAC statement language and the duality principle
#267	0	MacLane II.2: The op involution as a functor on Cat
#270	0	MacLane II.3: Bifunctors and transformations from partial data (Propositions 1 and 2)
#274	0	MacLane II.3: Set-indexed products of categories
#276	0	MacLane II.4: Functor categories over discrete shapes and their size
#277	0	MacLane II.4: The arrow category as [2, B] and the classification of natural transformations
#283	0	MacLane II.5: Strict 2-categories, double categories, and Cat
#284	0	MacLane II.5: Naturality of the exponential laws
#285	0	MacLane II.5: The abstract Eckmann-Hilton argument
#287	0	MacLane II.5: The hom-action of a functor as a natural transformation
#290	0	MacLane II.6: The comma diagram over the arrow category and its universal property
#291	0	MacLane II.6: The Huq correspondence is a bijection
#292	0	MacLane II.6: Functoriality of the comma construction
#294	0	MacLane II.7: O-graphs, the composable-pairs product, and categories as monoids
#295	0	MacLane II.7: Concrete free categories and free finite ordinals
#296	0	MacLane II.7: The free monoid and its universal property
#297	0	MacLane II.7: Opposite and product graphs
#299	0	MacLane II.8: The least congruence and presented categories
#302	0	MacLane III.1: Couniversal arrows (universal arrows from a functor to an object)
#303	0	MacLane III.1: Universal elements as first-class structures
#308	0	MacLane III.1: Metric-space completion as a universal arrow
#316	0	MacLane III.2: Naturality of the Yoneda isomorphism in both variables
#317	0	MacLane III.2: Representations are functorial in natural transformations
#318	0	MacLane III.2: Naturality is unchanged by enlarging the codomain
#320	0	MacLane III.3: Indexed coproducts
#322	0	MacLane III.3: Wide equalizers and wide coequalizers
#323	0	MacLane III.3: Cokernel pairs and the pushout characterization of epimorphisms
#326	0	MacLane III.4: Interdefinability of the finite (co)limit constructions
#328	0	MacLane III.3: Coproducts in Mon and Grph
#332	0	MacLane III.4: Graph-shaped diagrams and their limits
#334	0	MacLane III.4: Limits along an index category with an initial object
#335	0	MacLane III.5: All finite products from a terminal object and binary products
#339	0	MacLane III.5: Pointwise finite products in functor categories
#340	0	MacLane III.6: Ring and lattice objects by internalization
#343	0	MacLane III.6: The categories of internal monoids and groups have finite products
#345	0	MacLane III.7: The category of elements of a set-valued functor
#350	0	MacLane IV.1: Paré's criterion — a left adjoint from a split idempotent
#351	0	MacLane IV.1: Coproducts as the left adjoint of the diagonal functor
#352	0	MacLane IV.2: Connected categories
#358	0	MacLane IV.2: Functors adjoint on the right
#368	0	MacLane IV.3: Fullness of an adjoint and invertibility of the unit-counit composites
#373	0	MacLane IV.3: A full reflective subcategory inherits limits
#379	0	MacLane IV.4: Adjoint equivalences compose
#390	0	MacLane IV.6: The entailment preorder of a theory is cartesian closed
#391	0	MacLane IV.6: Internal composition in a cartesian closed category
#392	0	MacLane IV.6: Cartesian closure is not inherited by functor categories
#393	0	MacLane IV.7: Maps of adjunctions
#394	0	MacLane IV.7: Conjugate natural transformations and the four characterizations of conjugacy
#406	0	MacLane V.1: Creation of limits by a functor
#418	0	MacLane V.2: Completeness of a product category
#422	0	MacLane V.2: Products in a preorder are greatest lower bounds
#424	0	MacLane V.3: The evaluation functor on a functor category
#427	0	MacLane V.4: Cone-level preservation of limits and continuous functors
#429	0	MacLane V.4: Projective and injective objects
#432	0	MacLane V.5: Non-existence of adjoints in Set and Set^op
#435	0	MacLane V.6: The initial-object theorem as a characterization
#440	0	MacLane V.6: The category of algebras of a variety
#445	0	MacLane V.7: Intersections and unions of subobjects
#446	0	MacLane V.7: Quotient objects
#447	0	MacLane V.7: Generating (separating) sets of objects
#463	0	MacLane VI.1: Monads on a preorder are closure operators, and their algebras are the closed elements
#464	0	MacLane VI.2: The group-action monad G×(−) and its algebras are G-sets
#468	0	MacLane VI.2: Morphisms of monads, the category of monads, and the induced functor between algebra categories
#470	0	MacLane VI.4: The word monad, the free-semigroup adjunction, and monadicity of semigroups over Set
#475	0	MacLane VI.5: The Kleisli comparison functor and the free-object subcategory
#477	0	MacLane VI.6: The absolute-coequalizer (absolute-colimit) predicate
#478	0	MacLane VI.6: The dom/cod fork in Cat and its splitting by a terminal object
#480	0	MacLane VI.6: Contractible (Beck) parallel pairs
#481	0	MacLane VI.7: Reflection of coequalizers — definition, and from creation or from preservation+conservativity
#490	0	MacLane VII.1: Cocartesian monoidal structure from finite coproducts
#491	0	MacLane VII.1: Moncat, the category of monoidal categories, and its finite products
#492	0	MacLane VII.1: The pointwise monoidal structure on a functor category and the exponential law
#493	0	MacLane VII.1: One-object strict monoidal categories and the Eckmann–Hilton interchange
#494	0	MacLane VII.1: Independence of the pentagon and triangle axioms
#495	0	MacLane VII.1: Isbell's argument against strictifying by identifying isomorphic objects
#496	0	MacLane VII.2: The free monoidal category on one generator
#502	0	MacLane VII.3: Construction of free monoids as coproducts of tensor powers
#503	0	MacLane VII.3: Finite products in the category of monoids
#505	0	MacLane VII.4: Modules over a monoid object and the free/forgetful adjunction
#510	0	MacLane VII.4: Actions of a monad on an endofunctor and liftings to the algebras
#530	0	MacLane VIII.1: Equalizers as kernels of differences in an Ab-category
#532	0	MacLane VIII.1: The canonical factorization f = ker(coker f) ∘ q and its diagonal fill-in
#533	0	MacLane VIII.2: Characterization of the zero object in an Ab-category
#534	0	MacLane VIII.2: Product, biproduct, and coproduct coincide in an Ab-category
#535	0	MacLane VIII.2: The biproduct bifunctor and its associativity and commutativity
#536	0	MacLane VIII.2: Finite biproducts and the matrix calculus of arrows
#539	0	MacLane VIII.2: Group completion of the semiadditive enrichment (Ex 4b)
#540	0	MacLane VIII.2: The free Ab-category on a category
#543	0	MacLane VIII.3: Functor and product categories inherit abelian structure
#544	0	MacLane VIII.3: Coimage and the canonical coimage-to-image isomorphism
#547	0	MacLane VIII.3: The economical (Freyd–Schubert) axiomatization of abelian categories
#559	0	MacLane IX.1: Filtered categories and filtered colimits
#570	0	MacLane IX.4: Canonical wedges — evaluation and the identity family
#572	0	MacLane IX.4: Multi-variable (di)natural transformations and dummy variables
#574	0	MacLane IX.4: Euclidean self-duality as a dinatural transformation
#575	0	MacLane IX.5: The end–limit correspondence (subdivision and twisted-arrow categories)
#577	0	MacLane IX.5: The set of natural transformations is an end of the hom-functor
#578	0	MacLane IX.5: Preservation and creation of ends; hom-functors are continuous for ends
#579	0	MacLane IX.6: The tensor product of functors as a coend
#581	0	MacLane IX.7: Functoriality of ends in the integrand
#585	0	MacLane X.1: The formal criterion for the existence of an adjoint via comma-category limits
#587	0	MacLane X.1: The Bénabou collage of a set-valued functor and representability via a left adjoint
#588	0	MacLane X.2: Weak universal arrows and weak (co)limits
#589	0	MacLane X.3: The pointwise (co)limit formula for Kan extensions
#597	0	MacLane X.4: Composition of right Kan extensions (Dubuc)
#600	0	MacLane X.6: Dense and codense functors and the full-faithfulness (nerve) criteria
#603	0	MacLane X.7: Kan extensions along the identity and the terminal functor give functors and (co)limits
#606	0	MacLane XI.1: The braiding as a natural isomorphism, unit compatibility, and the inverse braiding
#607	0	MacLane XI.2: Monoidal natural transformations compose, and the category of monoidal functors
#609	0	MacLane XI.3: Strictification — every monoidal category is monoidally equivalent to a strict one
#610	0	MacLane XI.3: The endofunctor category [C,C] as a strict monoidal category (Exercise 1)
#617	0	MacLane XII.1: Internal categories (category objects in a finitely complete category)
#625	0	MacLane XII.4: Right Kan extensions in a 2-category (formal Kan extensions)
#631	0	MacLane XII.6: The two duals of a bicategory
#632	0	MacLane XII.7: Every one-object bicategory is a monoidal category (and bicategorical coherence)
#634	0	MacLane XII.7: The bicategory Span(C)
#639	0	MacLane App.1: A two-valued subobject classifier is a Boolean algebra
#640	0	Awodey 1.4: Wide subcategories of Sets cut out by a class of functions
#641	0	Awodey 1.4: Pos, the category of posets and monotone maps
#642	0	Awodey 1.4: The category of a deductive system (proofs as arrows)
#646	0	Awodey 1.9 Ex 4: The coslice as the opposite of the slice over the opposite category
#647	0	Awodey 1.9 Ex 5: Free categories on graphs with exactly six arrows
#651	0	Awodey 2.1: Every arrow in a poset is a bimorphism, and Pos is not balanced
#653	0	Awodey 2.2: Boolean algebras and the category Bool
#655	0	Awodey 2.3: Well-pointed categories and having enough points
#656	0	Awodey 2.4: Functors preserve split monomorphisms and split epimorphisms
#658	0	Awodey 3.2: The coproduct bifunctor + : C ∏ C ⟶ C
#659	0	Awodey 3.2: The coproduct universal property — representability and uniqueness up to isomorphism
#664	0	Awodey 4.3: The homomorphism theorem for categories — kernel congruence, kernel category, and the bijective-on-objects/faithful factorization of a functor
#669	0	Awodey 5.1: The subobject preorder Sub_C(X) as a category, and its poset quotient
#671	0	Awodey 5.1: Local membership of generalized elements, and the equalizer as a comprehension subobject
#672	0	Awodey 5.3/5.7 Ex 1: Pullback calculus — the prism lemma, and monos as pullback squares
#679	0	Awodey 5.5: Composition-reversal and identity laws for contramap
#683	0	Awodey 6.3: Heyting algebras — the class, the poset exponential UMP, and negation
#689	0	Awodey 6.4: The equational characterization of cartesian closed categories
#690	0	Awodey 6.5: The typed λ-calculus over a signature, and λ-theories with a provable-equality judgement
#696	0	Awodey 6.6 Ex 2: The category of monoids is not cartesian closed
#713	0	Awodey 8.2: The hom-bifunctor and its two exponential transposes in Cat
#714	0	Awodey 8.2/8.4: Lower sets, the principal-down-set embedding, and the thin-category Yoneda criterion
#721	0	Awodey 8.8: The subobject functor is representable — naturality of the classifying bijection and uniqueness of Ω
#740	0	Awodey 10.4: The comonad induced by an adjunction, with its counit and comultiplication exposed
#741	0	Awodey 10.4: Comonadic functors — the co-Eilenberg–Moore comparison and the Comonadic predicate
#742	0	Awodey 10.6 Ex 7(c): The category of sets with an endomorphism and its eventually-fixed-points comonad
#746	0	Awodey 10.5: Pointwise sums of functors and the class of polynomial endofunctors
#753	0	Awodey 10.6 Ex 10: The final coalgebra of 1 + A × X — possibly-infinite lists
#233	1	MacLane I.3: Functors out of 1, 2, and 3
#235	1	MacLane I.3: Two distinct functors sharing the identity object function
#240	1	MacLane I.4: The fixed-factor product functor and its induced transformation
#241	1	MacLane I.4: Natural transformations between group homomorphisms are conjugations
#248	1	MacLane I.5: Groupoids and the structure of connected groupoids
#251	1	MacLane I.5: Epimorphisms of groups are surjective
#256	1	MacLane I.7: Ab, the category of abelian groups
#260	1	MacLane I.7: Homotopy categories and pointed spaces
#268	1	MacLane II.2: Open(X) and the presheaf of continuous functions
#271	1	MacLane II.3: The cylinder C x 2 and the universal natural transformation
#272	1	MacLane II.3: Product categories subsume products of monoids, groups, and sets
#273	1	MacLane II.3: Preorders are closed under products and functor categories
#278	1	MacLane II.4: Monoid and group actions as functor categories
#288	1	MacLane II.5: The centre of a category
#289	1	MacLane II.6: Comma-category specializations
#300	1	MacLane II.8: The walking commutative square by generators and relations
#301	1	MacLane II.8: Group congruences are normal subgroups
#304	1	MacLane III.1: Kernels as universals for a contravariant functor
#311	1	MacLane III.1: A universal element for the contravariant power-set functor
#313	1	MacLane III.1: Quotient groups and the isomorphism theorems by universality
#315	1	MacLane III.1: Quotient setoids and coequalizers in Sets
#319	1	MacLane III.2: Kan's coyoneda lemma over the category of elements
#321	1	MacLane III.4: Powers and copowers of an object
#325	1	MacLane III.3: Pushouts in Grp and Top; amalgamated products
#331	1	MacLane III.4: Hom-functors preserve products and limits
#333	1	MacLane III.4: Pullbacks and kernel pairs in Sets
#336	1	MacLane III.5: The matrix calculus from finite coproducts to finite products
#337	1	MacLane III.5: Cat has pullbacks and comma categories are pullbacks in Cat
#338	1	MacLane III.5: Cat has small coproducts
#341	1	MacLane III.6: Group objects through their representable functors
#342	1	MacLane III.6: Pointwise group objects in functor categories
#344	1	MacLane III.6: Groups in Grp are abelian groups
#346	1	MacLane III.7: The density theorem: set-valued functors as colimits of representables
#347	1	MacLane IV.1: Determination of an adjunction by its counit and by couniversal arrows
#349	1	MacLane IV.1: Adjoints of additive functors are additive
#353	1	MacLane IV.2: Limits and colimits as adjoints of the diagonal functor
#357	1	MacLane IV.2: The adjoint string on the objects functor of Cat
#363	1	MacLane IV.2: A monoid is a group exactly when its translations have adjoints
#364	1	MacLane IV.2: The cokernel-pair functor is left adjoint to the equalizer functor
#369	1	MacLane IV.3: Monomorphisms and epimorphisms in a functor category are pointwise
#372	1	MacLane IV.3: Posets are reflective in preorders, and T0-spaces in Top
#374	1	MacLane IV.4: Skeletons and skeletal categories
#380	1	MacLane IV.5: Galois connections are adjunctions between preorders
#395	1	MacLane IV.7: The category of adjunctions and conjugate pairs
#396	1	MacLane IV.7: Adjunctions with a parameter
#397	1	MacLane IV.7: Choosing right adjoints functorially
#398	1	MacLane IV.7: Adjoint squares and the Palmquist mates bijection
#405	1	MacLane IV.10: Every elementary topos has finite colimits
#412	1	MacLane V.1: The arrow-category projection creates limits
#413	1	MacLane V.1: Compact Hausdorff spaces and the creation of limits
#416	1	MacLane V.2: Limits from products and equalizers
#419	1	MacLane V.2: The canonical comparison arrow for limits of composites
#423	1	MacLane V.2: A small small-complete category is a preorder (Freyd)
#425	1	MacLane V.3: Pointwise limits in a functor category
#434	1	MacLane V.5: A full reflective subcategory of a cocomplete category is cocomplete
#438	1	MacLane V.6: The comma projection creates limits
#448	1	MacLane V.7: Spanning arrows and solution sets from subobject intersections
#451	1	MacLane V.8: Well-powered and co-well-powered categories
#452	1	MacLane V.8: The special initial-object theorem
#456	1	MacLane V.9: The underlying-set functor of Top and its adjoint triple
#460	1	MacLane V.9: Gluing along an open cover and the sheaf condition
