item_id	classification	issue	projects	evidence_or_note
maclane:I.1:def3	PARTIAL	#216	4	MacLane I.1: Commutative diagrams as first-class objects
maclane:I.1:remark1	PARTIAL	#217	4	MacLane I.1: Arrows-only metacategories and the equivalence of category presentations
maclane:I.1:def4	PARTIAL	#217	4	MacLane I.1: Arrows-only metacategories and the equivalence of category presentations
maclane:I.1:prop1	PARTIAL	#217	4	MacLane I.1: Arrows-only metacategories and the equivalence of category presentations
maclane:I.8:remark1	PARTIAL	#217	4	MacLane I.1: Arrows-only metacategories and the equivalence of category presentations
maclane:I.2:remark1	ABSENT	#218	4	MacLane I.2: A category is a monoid for the product over its object set
maclane:I.2:construction2	PARTIAL	#219	4	MacLane I.2: Discrete categories are exactly sets
maclane:I.2:construction3	ABSENT	#220	4	MacLane I.2: Delooping monoids and groups into one-object categories
maclane:I.2:construction4	ABSENT	#220	4	MacLane I.2: Delooping monoids and groups into one-object categories
maclane:I.2:construction5	ABSENT	#221	4	MacLane I.2: The matrix category Matr_K
maclane:I.2:construction6	PARTIAL	#222	4	MacLane I.2: Ens_V, the category of sets within a set V
maclane:I.2:construction7	PARTIAL	#223	4	MacLane I.2: Preorders as thin categories, with partial and linear orders
maclane:I.2:def4	PARTIAL	#223	4	MacLane I.2: Preorders as thin categories, with partial and linear orders
maclane:I.2:construction8	PARTIAL	#224	4	MacLane I.2: Finite ordinals as categories and the chain ω
maclane:I.2:construction9	ABSENT	#225	4	MacLane I.2: The simplicial category Delta
maclane:I.1:construction2	PARTIAL	#226	4	MacLane I.2: The roster of standard large categories
maclane:I.2:construction12	PARTIAL	#226	4	MacLane I.2: The roster of standard large categories
maclane:I.3:construction1	ABSENT	#227	4	MacLane I.3: The covariant power-set functor
maclane:I.3:construction2	ABSENT	#228	4	MacLane I.3: GL_n and the determinant as a natural transformation
maclane:I.4:construction1	ABSENT	#228	4	MacLane I.3: GL_n and the determinant as a natural transformation
maclane:I.3:construction3	ABSENT	#229	4	MacLane I.3: Commutator subgroup and abelianization functors
maclane:I.4:construction2	ABSENT	#229	4	MacLane I.3: Commutator subgroup and abelianization functors
maclane:I.3:remark1	ABSENT	#230	4	MacLane I.3: The center of a group is not functorial
maclane:I.3:ex4	ABSENT	#230	4	MacLane I.3: The center of a group is not functorial
maclane:I.3:def4	PARTIAL	#231	4	MacLane I.3: Full and faithful functors, subcategories, and reflection of monics
maclane:I.3:def5	PARTIAL	#231	4	MacLane I.3: Full and faithful functors, subcategories, and reflection of monics
maclane:I.3:def6	PARTIAL	#231	4	MacLane I.3: Full and faithful functors, subcategories, and reflection of monics
maclane:I.5:ex9	ABSENT	#231	4	MacLane I.3: Full and faithful functors, subcategories, and reflection of monics
maclane:I.3:ex1	ABSENT	#232	4	MacLane I.3: The field of quotients as a functor
maclane:I.3:ex2	PARTIAL	#233	4	MacLane I.3: Functors out of 1, 2, and 3
maclane:I.3:ex3	PARTIAL	#234	4	MacLane I.3: Functors between preorders, groups, and representation categories
maclane:I.3:ex5	ABSENT	#235	4	MacLane I.3: Two distinct functors sharing the identity object function
maclane:I.4:construction3	PARTIAL	#236	4	MacLane I.4: Character groups and duality of finite abelian groups
maclane:I.4:remark1	ABSENT	#236	4	MacLane I.4: Character groups and duality of finite abelian groups
maclane:I.4:remark2	PARTIAL	#237	4	MacLane I.4: The double-dual natural isomorphism for finite-dimensional vector spaces
maclane:I.4:construction4	PARTIAL	#238	4	MacLane I.4: The skeleton equivalence between finite sets and finite ordinals
maclane:I.4:ex1	PARTIAL	#239	4	MacLane I.4: The currying adjunction and naturality of evaluation
maclane:I.4:ex2	PARTIAL	#240	4	MacLane I.4: The fixed-factor product functor and its induced transformation
maclane:I.4:ex3	ABSENT	#241	4	MacLane I.4: Natural transformations between group homomorphisms are conjugations
maclane:I.4:ex4	ABSENT	#242	4	MacLane I.4: Natural transformations into a preorder
maclane:I.4:ex5	ABSENT	#243	4	MacLane I.4: The arrows-only presentation of natural transformations
maclane:I.4:ex6	ABSENT	#244	4	MacLane I.4: Finite-dimensional vector spaces and the matrix-category equivalence
maclane:I.5:def4	PARTIAL	#245	4	MacLane I.5: Epis in Sets are exactly the surjections
maclane:I.5:def5	PARTIAL	#246	4	MacLane I.5: Split morphisms, idempotent composites, and regular arrows
maclane:I.5:ex7	ABSENT	#246	4	MacLane I.5: Split morphisms, idempotent composites, and regular arrows
maclane:I.5:def7	PARTIAL	#247	4	MacLane I.5: Uniqueness of terminal, initial, and zero objects
maclane:I.5:def8	PARTIAL	#247	4	MacLane I.5: Uniqueness of terminal, initial, and zero objects
maclane:I.5:def9	PARTIAL	#248	4	MacLane I.5: Groupoids and the structure of connected groupoids
maclane:I.5:remark1	ABSENT	#248	4	MacLane I.5: Groupoids and the structure of connected groupoids
maclane:I.5:construction1	ABSENT	#249	4	MacLane I.5: The fundamental groupoid of a topological space
maclane:I.5:ex1	ABSENT	#250	4	MacLane I.5: Monic/epi cancellation and a non-invertible bimorphism
maclane:I.5:ex3	ABSENT	#250	4	MacLane I.5: Monic/epi cancellation and a non-invertible bimorphism
maclane:I.5:ex5	ABSENT	#251	4	MacLane I.5: Epimorphisms of groups are surjective
maclane:I.5:ex8	PARTIAL	#252	4	MacLane I.5: The natural numbers as an initial algebra
maclane:I.6:def1	PARTIAL	#253	4	MacLane I.6: Size and foundations vocabulary
maclane:I.6:def2	PARTIAL	#253	4	MacLane I.6: Size and foundations vocabulary
maclane:I.6:def4	PARTIAL	#253	4	MacLane I.6: Size and foundations vocabulary
maclane:I.6:def5	PARTIAL	#253	4	MacLane I.6: Size and foundations vocabulary
maclane:I.6:def6	PARTIAL	#253	4	MacLane I.6: Size and foundations vocabulary
maclane:I.6:remark1	PARTIAL	#253	4	MacLane I.6: Size and foundations vocabulary
maclane:I.6:remark2	PARTIAL	#253	4	MacLane I.6: Size and foundations vocabulary
maclane:I.6:remark3	PARTIAL	#253	4	MacLane I.6: Size and foundations vocabulary
maclane:I.6:ex1	ABSENT	#254	4	MacLane I.6: Small completeness of Sets (indexed products and coproducts)
maclane:I.6:ex2	ABSENT	#254	4	MacLane I.6: Small completeness of Sets (indexed products and coproducts)
maclane:I.6:construction2	PARTIAL	#255	4	MacLane I.6: Grp, the category of groups
maclane:I.7:construction1	PARTIAL	#256	4	MacLane I.7: Ab, the category of abelian groups
maclane:I.7:prop1	ABSENT	#256	4	MacLane I.7: Ab, the category of abelian groups
maclane:I.7:def1	ABSENT	#257	4	MacLane I.7: Rng, the category of rings
maclane:I.7:construction2	ABSENT	#257	4	MacLane I.7: Rng, the category of rings
maclane:I.5:ex4	ABSENT	#257	4	MacLane I.7: Rng, the category of rings
maclane:I.7:construction3	ABSENT	#258	4	MacLane I.7: Module categories R-Mod and friends
maclane:I.7:construction4	ABSENT	#259	4	MacLane I.7: Top, the category of topological spaces
maclane:I.7:construction5	ABSENT	#260	4	MacLane I.7: Homotopy categories and pointed spaces
maclane:I.7:construction7	ABSENT	#260	4	MacLane I.7: Homotopy categories and pointed spaces
maclane:I.7:construction6	PARTIAL	#261	4	MacLane I.7: Set_*, the category of pointed sets
maclane:I.7:prop2	ABSENT	#261	4	MacLane I.7: Set_*, the category of pointed sets
maclane:I.7:construction8	PARTIAL	#262	4	MacLane I.7: Rel, converse relations, and the graph embedding
maclane:I.7:def2	PARTIAL	#263	4	MacLane I.7: Concrete categories
maclane:I.7:remark1	ABSENT	#263	4	MacLane I.7: Concrete categories
maclane:I.8:def4	PARTIAL	#264	4	MacLane I.8: Ab-categories and additive functors
maclane:I.8:def6	PARTIAL	#264	4	MacLane I.8: Ab-categories and additive functors
maclane:I.8:construction1	ABSENT	#264	4	MacLane I.8: Ab-categories and additive functors
maclane:I.8:def5	PARTIAL	#265	4	MacLane I.8: The tensor product of abelian groups and Ab-enrichment
maclane:I.1:construction1	PRESENT	-	-	Instance/Coq.v:120 Coq
maclane:I.1:def1	PRESENT	-	-	Construction/Free/Quiver.v:54 Quiver
maclane:I.1:def2	PRESENT	-	-	Theory/Category.v:111 Category
maclane:I.2:construction1	PRESENT	-	-	Instance/Zero.v:28 _0
maclane:I.2:construction10	PRESENT	-	-	Instance/FinSet.v:116 FinSet
maclane:I.2:construction11	PRESENT	-	-	Instance/Sets.v:188 Sets
maclane:I.2:def1	PRESENT	-	-	Construction/Free/Quiver.v:54 Quiver
maclane:I.2:def2	PRESENT	-	-	Theory/Category.v:111 Category
maclane:I.2:def3	PRESENT	-	-	Theory/Category.v:115 hom
maclane:I.3:construction4	PRESENT	-	-	Theory/Functor.v:258 Compose
maclane:I.3:construction5	PRESENT	-	-	Instance/Cat.v:142 Cat
maclane:I.3:def1	PRESENT	-	-	Theory/Functor.v:96 Functor
maclane:I.3:def2	PRESENT	-	-	Instance/CMon.v:169 CMon_Forget
maclane:I.3:def3	PRESENT	-	-	Theory/Isomorphism.v:113 Isomorphism
maclane:I.3:remark2	PRESENT	-	-	Theory/Functor.v:331 Full
maclane:I.4:def1	PRESENT	-	-	Theory/Natural/Transformation.v:113 Transform
maclane:I.4:def2	PRESENT	-	-	Instance/Fun.v:255 Functor_Setoid_Nat_Iso
maclane:I.4:def3	PRESENT	-	-	Theory/Equivalence.v:151 EquivalenceOfCategories
maclane:I.5:def1	PRESENT	-	-	Theory/Isomorphism.v:113 Isomorphism
maclane:I.5:def2	PRESENT	-	-	Theory/Isomorphism.v:187 iso_equivalence
maclane:I.5:def3	PRESENT	-	-	Theory/Morphisms.v:116 Monic
maclane:I.5:def6	PRESENT	-	-	Theory/Morphisms.v:22 Idempotent
maclane:I.5:ex2	PRESENT	-	-	Theory/Morphisms.v:212 monic_compose
maclane:I.5:ex6	PRESENT	-	-	Instance/Sets/Karoubi.v:101 Sets_IdempotentsSplit
maclane:I.6:construction1	PRESENT	-	-	Instance/Coq.v:120 Coq
maclane:I.6:construction3	PRESENT	-	-	Instance/Sets.v:188 Sets
maclane:I.6:construction4	PRESENT	-	-	Instance/Cat.v:142 Cat
maclane:I.6:def3	PRESENT	-	-	Instance/Comp.v:382 Group
maclane:I.8:def1	PRESENT	-	-	Theory/Category.v:115 hom
maclane:I.8:def2	PRESENT	-	-	Theory/Category.v:111 Category
maclane:I.8:def3	PRESENT	-	-	Theory/Functor.v:96 Functor
maclane:I.8:remark2	PRESENT	-	-	Theory/Natural/Transformation.v:113 Transform
maclane:I.8:remark3	PRESENT	-	-	Construction/Enriched.v:111 Enriched
maclane:II.1:def1	PARTIAL	#266	4	MacLane II.1: The ETAC statement language and the duality principle
maclane:II.1:def2	PARTIAL	#266	4	MacLane II.1: The ETAC statement language and the duality principle
maclane:II.1:thm1	PARTIAL	#266	4	MacLane II.1: The ETAC statement language and the duality principle
maclane:II.1:remark2	PARTIAL	#266	4	MacLane II.1: The ETAC statement language and the duality principle
maclane:II.2:lem1	PARTIAL	#266	4	MacLane II.1: The ETAC statement language and the duality principle
maclane:II.2:construction1	PARTIAL	#267	4	MacLane II.2: The op involution as a functor on Cat
maclane:II.2:construction7	PARTIAL	#268	4	MacLane II.2: Open(X) and the presheaf of continuous functions
maclane:II.2:construction8	ABSENT	#269	4	MacLane II.2: Restriction of scalars and the fibered category of all modules
maclane:II.2:construction9	PARTIAL	#269	4	MacLane II.2: Restriction of scalars and the fibered category of all modules
maclane:II.3:prop1	PARTIAL	#270	4	MacLane II.3: Bifunctors and transformations from partial data (Propositions 1 and 2)
maclane:II.3:def3	PARTIAL	#270	4	MacLane II.3: Bifunctors and transformations from partial data (Propositions 1 and 2)
maclane:II.3:prop2	PARTIAL	#270	4	MacLane II.3: Bifunctors and transformations from partial data (Propositions 1 and 2)
maclane:II.3:construction5	ABSENT	#271	4	MacLane II.3: The cylinder C x 2 and the universal natural transformation
maclane:II.4:ex8	PARTIAL	#271	4	MacLane II.3: The cylinder C x 2 and the universal natural transformation
maclane:II.3:ex1	ABSENT	#272	4	MacLane II.3: Product categories subsume products of monoids, groups, and sets
maclane:II.3:ex2	ABSENT	#273	4	MacLane II.3: Preorders are closed under products and functor categories
maclane:II.4:ex4	ABSENT	#273	4	MacLane II.3: Preorders are closed under products and functor categories
maclane:II.3:ex3	PARTIAL	#274	4	MacLane II.3: Set-indexed products of categories
maclane:II.3:ex5	ABSENT	#275	4	MacLane II.3: The ring of continuous functions as a contravariant functor
maclane:II.4:remark1	PARTIAL	#276	4	MacLane II.4: Functor categories over discrete shapes and their size
maclane:II.4:ex2	ABSENT	#276	4	MacLane II.4: Functor categories over discrete shapes and their size
maclane:II.4:remark2	PARTIAL	#276	4	MacLane II.4: Functor categories over discrete shapes and their size
maclane:II.4:construction1	PARTIAL	#277	4	MacLane II.4: The arrow category as [2, B] and the classification of natural transformations
maclane:II.4:ex7	PARTIAL	#277	4	MacLane II.4: The arrow category as [2, B] and the classification of natural transformations
maclane:II.4:construction2	ABSENT	#278	4	MacLane II.4: Monoid and group actions as functor categories
maclane:II.4:ex5	ABSENT	#278	4	MacLane II.4: Monoid and group actions as functor categories
maclane:II.4:construction3	ABSENT	#279	4	MacLane II.4: Linear representations as the functor category (K-Mod)^G
maclane:II.4:ex1	ABSENT	#280	4	MacLane II.4: R-Mod as an additive functor category
maclane:II.4:ex3	ABSENT	#281	4	MacLane II.4: Graded abelian groups as Ab^N
maclane:II.4:ex6	ABSENT	#282	4	MacLane II.4: Matrix equivalence and similarity via functor categories
maclane:II.5:thm1	PARTIAL	#283	4	MacLane II.5: Strict 2-categories, double categories, and Cat
maclane:II.5:def2	PARTIAL	#283	4	MacLane II.5: Strict 2-categories, double categories, and Cat
maclane:II.5:def3	PARTIAL	#283	4	MacLane II.5: Strict 2-categories, double categories, and Cat
maclane:II.5:ex2	PARTIAL	#284	4	MacLane II.5: Naturality of the exponential laws
maclane:II.5:ex5	PARTIAL	#285	4	MacLane II.5: The abstract Eckmann-Hilton argument
maclane:II.5:ex4	ABSENT	#286	4	MacLane II.5: Loop interchange and the abelian fundamental group of a topological group
maclane:II.5:ex6	ABSENT	#286	4	MacLane II.5: Loop interchange and the abelian fundamental group of a topological group
maclane:II.5:ex7	PARTIAL	#287	4	MacLane II.5: The hom-action of a functor as a natural transformation
maclane:II.5:ex8	ABSENT	#288	4	MacLane II.5: The centre of a category
maclane:II.6:remark1	PARTIAL	#289	4	MacLane II.6: Comma-category specializations
